               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093919,            0.040391,            0.022724,            0.024735,               0.025,           0.0072954,           0.0010599,            0.043298,            0.017041,            0.011069,             0.00024,             0.00024,             0.09784
                   1,            0.080655,             0.02314,            0.022003,            0.024172,              0.0125,           0.0046808,          0.00081637,             0.03638,            0.014046,            0.010696,          0.00048995,          0.00048995,             0.09559
                   2,            0.071248,            0.022665,            0.021246,           0.0058835,             0.35017,           0.0048509,          0.00094528,            0.030822,            0.017729,           0.0094218,          0.00073971,          0.00073971,             0.09334
                   3,            0.054117,              0.0216,            0.015667,             0.21541,             0.42908,             0.23514,            0.050869,            0.023988,           0.0096562,           0.0080582,          0.00098912,          0.00098912,            0.091089
                   4,            0.044805,            0.020697,              0.0133,             0.46117,             0.48576,             0.44866,             0.15942,             0.01911,             0.01081,           0.0052315,            0.001238,            0.001238,            0.088838
                   5,            0.040207,            0.019478,            0.012964,             0.63346,             0.70282,             0.68817,             0.27932,            0.016708,           0.0076188,           0.0036434,           0.0014863,           0.0014863,            0.086586
                   6,            0.040166,            0.018291,            0.012041,             0.66633,             0.78022,              0.7391,             0.27496,            0.016812,           0.0076128,           0.0020312,           0.0017338,           0.0017338,            0.084334
                   7,            0.038693,            0.018473,            0.010936,             0.50382,              0.8893,             0.61234,             0.20276,            0.022497,           0.0061207,           0.0013047,           0.0019804,           0.0019804,             0.08208
                   8,            0.036263,            0.018384,           0.0074664,             0.73893,             0.83027,              0.8506,             0.30748,            0.017549,           0.0065777,           0.0016556,           0.0022259,           0.0022259,            0.079826
                   9,            0.034034,            0.016831,           0.0057704,              0.7646,              0.8726,               0.882,             0.42335,            0.016725,           0.0053475,           0.0010975,           0.0024702,           0.0024702,             0.07757
                  10,            0.034412,            0.017301,           0.0055671,             0.65976,             0.81158,             0.77068,             0.36652,             0.01698,           0.0050002,           0.0011108,           0.0027131,           0.0027131,            0.075313
                  11,            0.035524,            0.016496,           0.0064209,             0.70081,              0.8377,             0.82142,             0.43328,            0.016626,           0.0050321,          0.00081032,           0.0029545,           0.0029545,            0.073054
                  12,            0.032985,             0.01611,           0.0050398,             0.61424,             0.84022,             0.74778,             0.25474,            0.021144,            0.004389,          0.00092184,           0.0031942,           0.0031942,            0.070794
                  13,             0.03418,            0.015657,           0.0060483,             0.72109,             0.78755,             0.79756,             0.38719,            0.015632,            0.004738,           0.0025054,           0.0034321,           0.0034321,            0.068532
                  14,            0.033611,            0.016101,           0.0060342,             0.75787,              0.8502,             0.84098,             0.37074,            0.016953,           0.0046602,          0.00064573,           0.0036682,           0.0036682,            0.066268
                  15,            0.032236,            0.015988,           0.0049287,             0.89425,              0.8626,             0.91891,              0.4709,            0.014921,           0.0053917,          0.00080891,           0.0039021,           0.0039021,            0.064002
                  16,             0.03116,            0.015231,           0.0031579,              0.6259,             0.84257,             0.79068,             0.38142,            0.019532,           0.0051055,           0.0012332,           0.0041339,           0.0041339,            0.061734
                  17,            0.031896,            0.015085,            0.005431,              0.8722,             0.86667,             0.94356,             0.53819,            0.012581,           0.0046679,           0.0024449,           0.0043633,           0.0043633,            0.059463
